Y,COLOR,SPINE,WIDTH,SATELLTS,WEIGHT,CATWIDTH
1,3,3,28.3,8,3.05,28.75
0,4,3,22.5,0,1.55,22.75
1,2,1,26.0,9,2.30,25.75
0,4,3,24.8,0,2.10,24.75
1,4,3,26.0,4,2.60,25.75
0,3,3,23.8,0,2.10,23.75
0,2,1,26.5,0,2.35,26.75
0,4,2,24.7,0,1.90,24.75
0,3,1,23.7,0,1.95,23.75
0,4,3,25.6,0,2.15,25.75
0,4,3,24.3,0,2.15,24.75
0,3,3,25.8,0,2.65,25.75
1,3,3,28.2,11,3.05,27.75
0,5,2,21.0,0,1.85,22.75
1,3,1,26.0,14,2.30,25.75
1,2,1,27.1,8,2.95,26.75
1,3,3,25.2,1,2.00,24.75
1,3,3,29.0,1,3.00,28.75
0,5,3,24.7,0,2.20,24.75
1,3,3,27.4,5,2.70,27.75
1,3,2,23.2,4,1.95,22.75
1,2,2,25.0,3,2.30,24.75
1,3,1,22.5,1,1.60,22.75
1,4,3,26.7,2,2.60,26.75
1,5,3,25.8,3,2.00,25.75
0,5,3,26.2,0,1.30,25.75
1,3,3,28.7,3,3.15,28.75
1,3,1,26.8,5,2.70,26.75
0,5,3,27.5,0,2.60,27.75
0,3,3,24.9,0,2.10,24.75
1,2,1,29.3,4,3.20,29.75
0,2,3,25.8,0,2.60,25.75
0,3,2,25.7,0,2.00,25.75
1,3,1,25.7,8,2.00,25.75
1,3,1,26.7,5,2.70,26.75
0,5,3,23.7,0,1.85,23.75
0,3,3,26.8,0,2.65,26.75
1,3,3,27.5,6,3.15,27.75
0,5,3,23.4,0,1.90,23.75
1,3,3,27.9,6,2.80,27.75
1,4,3,27.5,3,3.10,27.75
1,2,1,26.1,5,2.80,25.75
1,2,1,27.7,6,2.50,27.75
1,3,1,30.0,5,3.30,29.75
1,4,1,28.5,9,3.25,28.75
1,4,3,28.9,4,2.80,28.75
1,3,3,28.2,6,2.60,27.75
1,3,3,25.0,4,2.10,24.75
1,3,3,28.5,3,3.00,28.75
1,3,1,30.3,3,3.60,29.75
1,5,3,24.7,5,2.10,24.75
1,3,3,27.7,5,2.90,27.75
1,2,1,27.4,6,2.70,27.75
1,3,3,22.9,4,1.60,22.75
1,3,1,25.7,5,2.00,25.75
1,3,3,28.3,15,3.00,28.75
1,3,3,27.2,3,2.70,26.75
1,4,3,26.2,3,2.30,25.75
0,3,1,27.8,0,2.75,27.75
0,5,3,25.5,0,2.25,25.75
0,4,3,27.1,0,2.55,26.75
1,4,3,24.5,5,2.05,24.75
1,4,1,27.0,3,2.45,26.75
1,3,3,26.0,5,2.15,25.75
1,3,3,28.0,1,2.80,27.75
1,3,3,30.0,8,3.05,29.75
1,3,3,29.0,10,3.20,28.75
0,3,3,26.2,0,2.40,25.75
0,3,1,26.5,0,1.30,26.75
1,3,3,26.2,3,2.40,25.75
1,4,3,25.6,7,2.80,25.75
1,4,3,23.0,1,1.65,22.75
0,4,3,23.0,0,1.80,22.75
1,3,3,25.4,6,2.25,25.75
0,4,3,24.2,0,1.90,23.75
0,3,2,22.9,0,1.60,22.75
1,4,2,26.0,3,2.20,25.75
1,3,3,25.4,4,2.25,25.75
0,4,3,25.7,0,1.20,25.75
1,3,3,25.1,5,2.10,24.75
0,4,2,24.5,0,2.25,24.75
0,5,3,27.5,0,2.90,27.75
0,4,3,23.1,0,1.65,22.75
1,4,1,25.9,4,2.55,25.75
0,3,3,25.8,0,2.30,25.75
1,5,3,27.0,3,2.25,26.75
0,3,3,28.5,0,3.05,28.75
0,5,1,25.5,0,2.75,25.75
0,5,3,23.5,0,1.90,23.75
0,3,2,24.0,0,1.70,23.75
1,3,1,29.7,5,3.85,29.75
0,3,1,26.8,0,2.55,26.75
0,5,3,26.7,0,2.45,26.75
0,3,1,28.7,0,3.20,28.75
0,4,3,23.1,0,1.55,22.75
1,3,1,29.0,1,2.80,28.75
0,4,3,25.5,0,2.25,25.75
1,4,3,26.5,1,1.97,26.75
1,4,3,24.5,1,2.20,24.75
1,4,3,28.5,1,3.00,28.75
1,3,3,28.2,1,2.87,27.75
1,3,3,24.5,1,1.60,24.75
1,3,3,27.5,1,2.55,27.75
1,3,2,24.7,4,2.55,24.75
1,3,1,25.2,1,2.00,24.75
1,4,3,27.3,1,2.90,27.75
1,3,3,26.3,1,2.40,26.75
