age,timetest1,timetest2,expi,education,certif
36,4.4,2.3,2.8,1,1
41,4.2,2.3,2.7,1,2
36,3.5,1.7,3.5,1,3
32,5.5,0.5,0.6,0,0
35,2.4,0.8,7.2,1,3
29,3.2,1.9,3.6,1,2
32,2.6,0.8,6,1,3
37,2.7,0.8,7.1,1,3
36,2.3,0.8,6.8,1,3
33,5.7,2.9,0.7,0,0
38,2.5,0.9,6.3,1,3
34,3.5,1.6,3.3,1,2
36,2.4,0.6,6.8,1,3
35,2.6,0.8,6.3,1,3
33,5.4,2.8,0.8,0,0
26,5.5,2.8,0.7,0,0
35,4.4,2.2,2.5,0,1
33,4.3,2.1,2.5,0,2
42,3.6,1.7,3.4,1,2
33,3.6,1.8,3.3,1,2
38,5.4,2.7,0.8,1,0
45,3.9,3,3.5,0,3
32,3.3,1.8,3.7,1,2
35,5.7,2.7,0.8,0,0
33,5.9,2.7,0.8,0,0
32,3.8,1.8,3.4,0,2
32,4.3,2.2,2.3,0,2
32,3.7,1.8,3.6,1,2
36,5.5,2.8,0.8,0,0
33,4,0.7,6.1,1,3
30,3.3,1.8,3.5,1,2
39,4.6,2.1,2.4,0,1
33,4.6,2.3,2.8,1,2
33,4.4,2.2,2.5,1,1
26,4.6,2.2,4,1,2
39,2.4,0.7,6.6,1,3
39,5.4,2.6,0.7,1,0
41,5.5,2.6,0.7,0,0
30,2.4,0.9,6.8,1,3
38,4.4,2.1,2.7,0,1
31,2.5,0.7,6.1,1,3
30,2.2,0.8,6.5,1,3
37,2.3,0.9,6.3,1,3
40,3.8,1.9,3.4,1,2
40,3.6,1.8,3.9,1,2
35,4.4,0.6,2.5,1,1
38,2.5,2.3,2.4,1,2
34,4.4,2.2,5,0,1
33,5.3,2.8,0.8,0,0
35,5.4,2.9,0.7,1,0
