vozrast,vremyatest1,vremyatest2,staj,obrazov,sertifikat
34,4.4,2.2,3,0,1
32,3.3,1.8,3.5,1,2
35,4.5,2.2,2.4,0,1
35,2.5,0.9,7.5,1,3
31,3.7,1.7,3.4,1,2
36,5.5,2.8,0.8,0,0
32,2.4,0.9,6.1,1,3
35,4.4,2.2,2.5,1,1
33,5.4,2.8,0.8,0,0
36,4.3,2.2,2.3,0,2
31,4.5,2.4,2.3,1,2
33,5.7,2.9,0.7,0,0
35,2.4,0.7,6.7,1,3
38,5.4,2.7,5,1,0
31,2.5,3,6.1,1,3
37,3.7,1.9,3.4,1,2
37,2.3,0.9,6.3,1,3
38,4,0.8,6.6,1,3
35,2.4,0.7,6.5,1,3
34,2.3,0.8,6.8,1,3
35,3.7,1.7,3.6,1,2
30,4.4,2.2,2.4,0,1
26,5.5,2.8,0.7,0,0
38,3.5,1.7,3.5,1,2
36,3.8,1.8,3.3,1,3
34,2.6,0.9,6.7,1,3
38,3.5,1.8,0.5,1,2
36,3.5,1.7,3.4,0,3
32,5.5,2.8,0.6,0,0
32,3.6,1.8,3.5,1,2
39,5.4,2.6,0.7,1,0
38,4.3,2.4,2.3,1,1
34,3.8,1.7,3.5,0,2
38,2.5,2.3,2.4,1,2
39,4.4,2.2,2.5,0,2
33,4.4,2.3,2.6,1,2
30,2.2,0.8,6.5,1,3
35,5.7,2.7,0.8,0,0
41,5.5,2.6,0.7,0,0
33,5.9,2.7,0.8,0,0
31,2.5,0.7,6.1,1,3
30,2.2,0.8,6.5,1,3
40,3.8,1.9,3.4,1,2
40,3.6,1.8,3.9,1,2
38,4.7,2.3,2.4,1,2
34,4.4,0.8,3,0,1
36,4.3,2.2,2.3,0,2
37,5.5,2.8,0.7,0,0
39,2.5,2.6,3,1,0
41,5.5,2.6,0.7,0,0
