age,experience,hours,income,profession,sex
30,2.5,20.2,10.1,1,2
32,2.7,21.9,8.7,1,1
26,2.5,22.6,8.1,1,2
31,2.7,23,12.2,1,2
27,5.1,82.2,10.2,2,2
35,1.3,14,14.1,1,2
28,4.5,89.2,6.7,2,2
25,5,75.1,7,2,2
27,5,80.7,7.9,2,2
29,5,25.7,8.8,1,1
23,5.4,81.9,12.4,2,1
32,1.1,16.6,7.6,1,1
43,0.5,6.9,10.7,0,2
32,1.6,12.8,12.9,1,2
21,4.7,76.7,13.1,2,2
35,0.7,6.4,11.2,0,1
30,2.5,22.9,11.3,1,2
31,2.4,24,9.1,1,2
44,0.3,6.2,12.1,0,2
31,2.4,23.7,10,1,2
25,4.7,79,11.9,2,2
34,1.6,16.6,8.2,1,2
32,1.5,14.9,7.7,1,1
35,0.5,6.3,7.6,0,1
31,1.6,14.7,5.5,1,2
29,1.4,17.6,12.1,1,2
39,0.6,5.8,4.2,0,1
27,4.5,81.3,5.6,2,2
35,1.6,12.8,9.1,1,1
35,1.5,30,7.7,1,2
38,0.5,6.9,11.5,0,1
30,2.6,24.9,8.5,1,2
36,2,6.6,8.1,0,2
24,4.9,25,7.1,2,2
34,1.6,17.1,10.8,1,1
35,0.4,7.3,8.9,0,1
26,5,75.7,6.7,2,2
38,0.6,5.8,10,0,1
37,0.5,7,8.6,0,2
29,2.4,26.6,7.3,1,2
25,4.7,79.6,7,2,2
25,3,82.5,8.1,2,2
24,5.4,75.7,9.5,2,2
29,2.5,23.9,10.9,1,1
34,2.6,24,10.2,1,2
27,2.4,30,7.2,1,1
32,1.5,18.4,7.5,1,2
32,1.3,16.5,12.9,1,2
30,1.5,17.1,10.1,1,2
25,0.4,6.8,10.5,0,2
