age,timetest1,timetest2,expi,education,certif,clusternum
0.8,0.745762712,0.766666667,0.388888889,1,1,1
0.911111111,0.711864407,0.766666667,0.375,1,2,1
0.8,0.593220339,0.566666667,0.486111111,1,3,2
0.711111111,0.93220339,0.166666667,0.0833333333,0,0,2
0.777777778,0.406779661,0.266666667,1,1,3,4
0.644444444,0.542372881,0.633333333,0.5,1,2,2
0.711111111,0.440677966,0.266666667,0.833333333,1,3,4
0.822222222,0.457627119,0.266666667,0.986111111,1,3,4
0.8,0.389830508,0.266666667,0.944444444,1,3,4
0.733333333,0.966101695,0.966666667,0.0972222222,0,0,3
0.844444444,0.423728814,0.3,0.875,1,3,4
0.755555556,0.593220339,0.533333333,0.458333333,1,2,2
0.8,0.406779661,0.2,0.944444444,1,3,4
0.777777778,0.440677966,0.266666667,0.875,1,3,4
0.733333333,0.915254237,0.933333333,0.111111111,0,0,3
0.577777778,0.93220339,0.933333333,0.0972222222,0,0,3
0.777777778,0.745762712,0.733333333,0.347222222,0,1,1
0.733333333,0.728813559,0.7,0.347222222,0,2,1
0.933333333,0.610169492,0.566666667,0.472222222,1,2,2
0.733333333,0.610169492,0.6,0.458333333,1,2,2
0.844444444,0.915254237,0.9,0.111111111,1,0,3
1,0.661016949,1,0.486111111,0,3,1
0.711111111,0.559322034,0.6,0.513888889,1,2,2
0.777777778,0.966101695,0.9,0.111111111,0,0,3
0.733333333,1,0.9,0.111111111,0,0,3
0.711111111,0.644067797,0.6,0.472222222,0,2,2
0.711111111,0.728813559,0.733333333,0.319444444,0,2,1
0.711111111,0.627118644,0.6,0.5,1,2,2
0.8,0.93220339,0.933333333,0.111111111,0,0,3
0.733333333,0.677966102,0.233333333,0.847222222,1,3,4
0.666666667,0.559322034,0.6,0.486111111,1,2,2
0.866666667,0.779661017,0.7,0.333333333,0,1,1
0.733333333,0.779661017,0.766666667,0.388888889,1,2,1
0.733333333,0.745762712,0.733333333,0.347222222,1,1,1
0.577777778,0.779661017,0.733333333,0.555555556,1,2,1
0.866666667,0.406779661,0.233333333,0.916666667,1,3,4
0.866666667,0.915254237,0.866666667,0.0972222222,1,0,3
0.911111111,0.93220339,0.866666667,0.0972222222,0,0,3
0.666666667,0.406779661,0.3,0.944444444,1,3,4
0.844444444,0.745762712,0.7,0.375,0,1,1
0.688888889,0.423728814,0.233333333,0.847222222,1,3,4
0.666666667,0.372881356,0.266666667,0.902777778,1,3,4
0.822222222,0.389830508,0.3,0.875,1,3,4
0.888888889,0.644067797,0.633333333,0.472222222,1,2,2
0.888888889,0.610169492,0.6,0.541666667,1,2,2
0.777777778,0.745762712,0.2,0.347222222,1,1,2
0.844444444,0.423728814,0.766666667,0.333333333,1,2,1
0.755555556,0.745762712,0.733333333,0.694444444,0,1,1
0.733333333,0.898305085,0.933333333,0.111111111,0,0,3
0.777777778,0.915254237,0.966666667,0.0972222222,1,0,3
