vozrast,vremyatest1,vremyatest2,staj,obrazov,sertifikat,klaster
0.829268293,0.745762712,0.733333333,0.4,0,1,2
0.780487805,0.559322034,0.6,0.466666667,1,2,1
0.853658537,0.762711864,0.733333333,0.32,0,1,2
0.853658537,0.423728814,0.3,1,1,3,4
0.756097561,0.627118644,0.566666667,0.453333333,1,2,1
0.87804878,0.93220339,0.933333333,0.106666667,0,0,3
0.780487805,0.406779661,0.3,0.813333333,1,3,4
0.853658537,0.745762712,0.733333333,0.333333333,1,1,2
0.804878049,0.915254237,0.933333333,0.106666667,0,0,3
0.87804878,0.728813559,0.733333333,0.306666667,0,2,2
0.756097561,0.762711864,0.8,0.306666667,1,2,2
0.804878049,0.966101695,0.966666667,0.0933333333,0,0,3
0.853658537,0.406779661,0.233333333,0.893333333,1,3,4
0.926829268,0.915254237,0.9,0.666666667,1,0,2
0.756097561,0.423728814,1,0.813333333,1,3,1
0.902439024,0.627118644,0.633333333,0.453333333,1,2,1
0.902439024,0.389830508,0.3,0.84,1,3,4
0.926829268,0.677966102,0.266666667,0.88,1,3,4
0.853658537,0.406779661,0.233333333,0.866666667,1,3,4
0.829268293,0.389830508,0.266666667,0.906666667,1,3,4
0.853658537,0.627118644,0.566666667,0.48,1,2,1
0.731707317,0.745762712,0.733333333,0.32,0,1,2
0.634146341,0.93220339,0.933333333,0.0933333333,0,0,3
0.926829268,0.593220339,0.566666667,0.466666667,1,2,1
0.87804878,0.644067797,0.6,0.44,1,3,1
0.829268293,0.440677966,0.3,0.893333333,1,3,4
0.926829268,0.593220339,0.6,0.0666666667,1,2,2
0.87804878,0.593220339,0.566666667,0.453333333,0,3,1
0.780487805,0.93220339,0.933333333,0.08,0,0,3
0.780487805,0.610169492,0.6,0.466666667,1,2,1
0.951219512,0.915254237,0.866666667,0.0933333333,1,0,3
0.926829268,0.728813559,0.8,0.306666667,1,1,2
0.829268293,0.644067797,0.566666667,0.466666667,0,2,1
0.926829268,0.423728814,0.766666667,0.32,1,2,2
0.951219512,0.745762712,0.733333333,0.333333333,0,2,2
0.804878049,0.745762712,0.766666667,0.346666667,1,2,2
0.731707317,0.372881356,0.266666667,0.866666667,1,3,4
0.853658537,0.966101695,0.9,0.106666667,0,0,3
1,0.93220339,0.866666667,0.0933333333,0,0,3
0.804878049,1,0.9,0.106666667,0,0,3
0.756097561,0.423728814,0.233333333,0.813333333,1,3,4
0.731707317,0.372881356,0.266666667,0.866666667,1,3,4
0.975609756,0.644067797,0.633333333,0.453333333,1,2,1
0.975609756,0.610169492,0.6,0.52,1,2,1
0.926829268,0.796610169,0.766666667,0.32,1,2,2
0.829268293,0.745762712,0.266666667,0.4,0,1,1
0.87804878,0.728813559,0.733333333,0.306666667,0,2,2
0.902439024,0.93220339,0.933333333,0.0933333333,0,0,3
0.951219512,0.423728814,0.866666667,0.4,1,0,2
1,0.93220339,0.866666667,0.0933333333,0,0,3
